Cdigo del organismo;Nombre del organismo;Ao informado;Trimestre informado;Entidad con la que existen vnculos;Tipo de vnculo;Descripcin o detalle del vnculo;Fecha de inicio
PP014;Partido Humanista (PH);Ao informado;Trimestre informado;Entidad con la que existen vnculos;Rut de la entidad;Tipo de vnculo;Descripcin o detalle del vnculo;Fecha de inicio;Fecha de termino;Vnculo indefinido;Enlace a la norma jurdica o convenio que justifica el vnculo
PP014;Partido Humanista (PH);2016;Oct - Dic;Federacin Internacional de Partidos Humanistas;Sin informacin;Participacin;Participa como Partido Humanista asociado;01-01-1989;;Si;http://internationalhumanistparty.org/es
PP014;Partido Humanista (PH);2016;Oct - Dic;Grupo de Sao Paulo;Sin informacin;Participacin;Miembro activo;02-06-1993;;Si;http://forodesaopaulo.org
PP014;Partido Humanista (PH);2016;Oct - Dic;Comunidad para el Desarrollo;Sin informacin;Participacin;Compartimos la ideologa del Humanismo Universalista;01-06-1984;;Si;http://lacomunidad.cl
PP014;Partido Humanista (PH);2016;Oct - Dic;Convergencia de las Culturas;Sin informacin;Participacin;Compartimos la ideologa del Humanismo Universalista;04-01-1999;;Si;http://convergenceofcultures.org/es
PP014;Partido Humanista (PH);2016;Oct - Dic;Centro de Estudios Humanistas;Sin informacin;Participacin;Compartimos la ideologa del Humanismo Universalista;05-01-2010;;Si;http://cehum.cl/
PP014;Partido Humanista (PH);2016;Oct - Dic;Fundacin Moebius;Sin informacin;Participacin;Compartimos la ideologa del Humanismo Universalista;06-08-2015;;Si;http://www.partidohumanista.cl
PP014;Partido Humanista (PH);2016;Oct - Dic;Fundacin Laura Rodriguez;Sin informacin;Participacin;Compartimos la ideologa del Humanismo Universalista;01-07-1993;;Si;http://laurarodriguez.cl
PP029;Partido Revolucin Democrtica (RD);Ao informado;Trimestre informado;Entidad con la que existen vnculos;Rut de la entidad;Tipo de vnculo;Descripcin o detalle del vnculo;Fecha de inicio;Fecha de termino;Vnculo indefinido;Enlace a la norma jurdica o convenio que justifica el vnculo
PP029;Partido Revolucin Democrtica (RD);2017;Ene - Mar;Foro de Sao Paulo;N/A;Participacin;El partido forma parte de los miembros que componen el Foro de Sao Paulo.;25-08-2014;;si;http://forodesaopaulo.org/partidos/
PP029;Partido Revolucin Democrtica (RD);2017;Ene - Mar;Frente Amplio;N/A;Participacin;El Frente Amplio es una agrupacin de partidos y movimientos polticos, de la cual Revolucin Democrtica forma parte;25-01-2017;;si;http://frente-amplio.cl/
PP030;Partido Ciudadanos (CIU);2017;Abr - Jun;Amplitud y Red Liberal;Coalicin poltica llamada Sentido Futuro;Sentido Futuro es una coalicin poltica chilena que agrupa a dos partidos y un movimiento poltico de centro;13/01/2016
PP030;Partido Ciudadanos (CIU);2017;Jul - Sep;Ciudadanos, Amplitud, Todos y Red Liberal;Pacto electoral;Sumemos es un nuevo pacto electoral de centro integrado por Amplitud, Ciudadanos, Todos y Red Liberal;09/08/2017
